observed,predicted_unbounded,predicted_bounded
10.5,10.0927203874222,10.053927640110864
11.5,8.955530361179534,9.059783675899313
6.0,8.231230048108989,8.364186975796041
6.6,8.695592254355216,8.816276824579527
4.2,6.582826001947708,6.546861703154769
9.0,8.913162360437823,9.020539891640798
10.3,9.641003903378884,9.672055030971958
9.5,9.817749351776706,9.823404974272327
11.0,9.060912058461799,9.156659834535573
10.0,9.58392417250098,9.622628766366853
10.2,9.497883159668412,9.547608442595442
8.5,9.210180069598046,9.292122279677798
10.5,10.309908915415686,10.231929816844167
12.0,9.979101348843153,9.959388577715867
9.5,9.66024691089977,9.68865695796165
10.5,10.43029279950824,10.329099663081516
12.3,10.452192686390822,10.346664434591094
11.0,9.949741671456092,9.9347971564863
7.0,9.390134919147295,9.452772024459808
9.4,9.504832465381815,9.553690870620585
9.0,8.91662241277805,9.023751214888273
10.5,9.913114800303942,9.904024426967302
12.0,9.94350818611057,9.929567394501891
9.1,9.471795544406683,9.524738378935277
9.0,8.149712400661514,8.282429768665159
3.0,6.871262444128653,6.8924894667426715
6.1,8.348453449125373,8.480469789175645
7.0,9.419449151658315,9.478672406987906
6.0,9.529463962721278,9.575216760937291
11.0,6.958224170342476,6.994143330626307
12.0,9.822213420693076,9.827194913166307
12.0,9.066550066894635,9.16181356137544
10.0,7.720483527999225,7.839260451440437
9.0,6.128487076478821,5.973996637071597
11.0,8.974103048541203,9.07693309019594
11.0,9.119315838496723,9.209904657060223
11.0,8.951992031461005,9.056512793883304
6.0,6.786964409741496,6.792841679716661
11.0,8.893306771510435,9.002089485264671
11.0,8.76079707189714,8.877980830575378
9.0,8.794375561596755,8.90959248646909
8.5,8.601921193685222,8.726888994301898
7.0,7.146351712342589,7.210205780305646
5.5,7.016909341524313,7.062100546707067
8.0,9.502178259960983,9.551368243373497
15.0,9.946712314292135,9.932255969116683
16.0,10.288709879713071,10.214709642450465
5.0,7.459451185725277,7.558689754714343
10.0,9.427121361779305,9.485438862855743
14.0,10.67240585823051,10.521408864482051
14.0,10.295478376139606,10.220211331719728
16.0,9.889984641160773,9.884536937457057
14.0,9.397161748797844,9.45898731561467
14.0,9.700703368539603,9.723461399198673
9.5,9.054439081495426,9.15073922336222
9.5,8.494698580903526,8.623469109664404
13.5,9.59585117995437,9.632978980497212
13.0,9.67870375194481,9.704551937842988
13.5,9.493382306324015,9.543666848193581
12.0,9.398991322514249,9.460604886273746
3.5,6.788097799832933,6.794188788024923
3.0,6.028474169028122,5.84283922514815
8.5,6.549254353335877,8.157638753328495
9.5,8.176951915046342,8.496290086269777
7.0,7.690434207762643,8.410018650180415
7.0,8.363872099149276,8.526897211503032
5.0,7.052477141718043,8.279252470781065
8.5,8.289429512875786,8.514862715554385
6.0,6.465583630325711,8.135456184436482
9.0,8.465377746734793,8.542988604511246
9.5,8.255905331498088,8.5093768398939
8.5,8.091999500274985,8.481940134939553
6.5,7.160799332215312,8.303106783040967
3.5,6.22316629779883,8.067467952553093
11.0,8.689139224975456,8.577230295593964
14.5,8.924923494919963,8.611606032289911
12.8,8.27733305058981,8.512888062272795
11.9,7.891509192854833,8.446910748613949
10.2,8.008578998457109,8.467568254211315
5.5,8.530819259838589,8.553174347646667
6.5,7.592570111235305,8.391376391606409
6.5,6.021465344874327,8.006174680520454
8.0,7.888844803773632,8.446433770017645
8.0,7.676653294973856,8.407421594525408
1.5,6.044889139289325,8.01353435754058
8.0,9.291966606547467,8.66197028738861
10.0,9.51370362479749,8.690710703327316
3.5,6.850000014518738,8.232578319635138
8.0,5.482611858514517,7.8157928264473
9.5,5.880911583117627,7.960568620689252
10.0,9.189181065994699,8.64823030993592
12.0,9.606848112474939,8.702433410432338
6.0,8.805275602793195,8.59437171769513
11.0,9.837742659903746,8.730651243085392
8.0,10.193534452365409,8.771947944098951
10.0,10.128955779011118,8.764638676042585
9.0,7.8248492843849755,8.434883430897306
10.0,9.519446859330852,8.691439361437707
9.0,9.768348787415233,8.722293162008667
9.0,9.278899314167873,8.660238567598315
8.0,7.204807764957614,8.312589469512522
10.5,9.88590196870529,8.736391629671713
10.0,9.856809186820541,8.732929728196615
12.5,9.94346088751403,8.743188972810316
