feature,value,shap,label
B2,0.023070,0.026297,Blue
B2,0.024300,-0.067361,Blue
B2,0.028380,-0.013710,Blue
B2,0.026020,-0.026322,Blue
B2,0.026070,-0.031871,Blue
B2,0.023740,-0.006628,Blue
B2,0.023650,-0.007670,Blue
B2,0.026320,0.053789,Blue
B2,0.024600,-0.011449,Blue
B2,0.026260,-0.000691,Blue
B2,0.025880,-0.011024,Blue
B2,0.026650,0.038534,Blue
B2,0.027670,-0.159360,Blue
B2,0.027740,-0.085456,Blue
B2,0.026310,-0.117193,Blue
B2,0.026680,-0.134046,Blue
B2,0.026760,-0.117280,Blue
B2,0.025410,-0.087706,Blue
B2,0.022190,0.081158,Blue
B2,0.026070,-0.054721,Blue
B2,0.035290,-0.047875,Blue
B2,0.027570,-0.188301,Blue
B2,0.028780,-0.133045,Blue
B2,0.025770,-0.101200,Blue
B2,0.025050,-0.052436,Blue
B2,0.026830,0.010442,Blue
B2,0.026110,-0.014153,Blue
B2,0.026210,0.032229,Blue
B2,0.027070,-0.012221,Blue
B2,0.023280,0.058907,Blue
B2,0.025080,0.174934,Blue
B2,0.025600,0.089546,Blue
B2,0.025690,0.110549,Blue
B2,0.025080,0.099194,Blue
B2,0.029410,0.080419,Blue
B2,0.027840,-0.163010,Blue
B2,0.026100,-0.023156,Blue
B2,0.023070,-0.085091,Blue
B2,0.024910,0.027319,Blue
B2,0.044460,-0.097411,Blue
B2,0.032050,-0.045246,Blue
B2,0.026950,-0.081494,Blue
B2,0.022520,-0.155527,Blue
B2,0.023210,-0.021092,Blue
B2,0.025350,0.075886,Blue
B2,0.024940,0.083272,Blue
B2,0.025580,0.018422,Blue
B2,0.026680,0.026345,Blue
B2,0.026140,0.012343,Blue
B2,0.025700,-0.000300,Blue
B2,0.024200,0.037452,Blue
B2,0.026320,0.030438,Blue
B2,0.025290,0.028997,Blue
B2,0.024480,-0.005512,Blue
B2,0.026520,0.029972,Blue
B2,0.024630,0.032708,Blue
B2,0.024970,0.032876,Blue
